id,name,unit,price_per_unit,minimum_stock,category_id,perishable,memo
1,"ソース","本","","",1,0,None
2,"マヨネーズ","本","","",1,0,None
3,"天かす","袋","","",1,0,None
4,"ガスボンベ","セット","","",1,0,None
5,"鰹節","袋","","",1,0,None
6,"8パック","個","","",3,0,None
7,"10パック","個","","",1,0,None
8,"ビニール袋","袋","","",1,0,None
9,"粉","袋","","",1,0,None
10,"はし","本","","",1,0,None
11,"タコせん","袋","","",1,0,None
12,"油","本","","",1,0,None
13,"しょうゆ","本","","",1,0,None
14,"4パック","個","","",1,0,None
15,"青のり","袋","","",1,0,None
18,"たこ","袋","","",2,1,None
20,"紅生姜","袋","","",1,0,None
